Variable,Sum of GRADE_POINTS,SCHOOL
Attitude,2.8046272493573263,Magunga_Mixed
Availability of learning materials,2.8046272493573263,Magunga_Mixed
IN-SERVICE TRAINING,2.8046272493573263,Magunga_Mixed
Attitude,2.227906976744186,Kaudha_Mixed
Availability of learning materials,2.227906976744186,Kaudha_Mixed
IN-SERVICE TRAINING,2.227906976744186,Kaudha_Mixed
Attitude,2.143835616438356,Budokomi_Mixed
Availability of learning materials,2.143835616438356,Budokomi_Mixed
IN-SERVICE TRAINING,2.143835616438356,Budokomi_Mixed
Attitude,2.055393586005831,Malele_Mixed
Availability of learning materials,2.055393586005831,Malele_Mixed
IN-SERVICE TRAINING,2.055393586005831,Malele_Mixed
Attitude,1.6666666666666667,Ojola_Mixed
Availability of learning materials,1.6666666666666667,Ojola_Mixed
IN-SERVICE TRAINING,1.6666666666666667,Ojola_Mixed
Attitude,1.4823529411764709,Nyalunya_Mixed
Availability of learning materials,1.4823529411764709,Nyalunya_Mixed
IN-SERVICE TRAINING,1.4823529411764709,Nyalunya_Mixed
