  Mathematics teachers in this school attend training workshops regularly.  ,  The training has helped teachers improve how they teach mathematics.  ,  The training programs cover the current curriculum and exams.  ,  Teachers share what they learn from training with others,  The school administration supports teachers to attend training programs,NAME  OF THE SCHOOL,SUB-COUNTY,COUNTY,Score
Agree,Agree,Strongly agree,Agree,Agree,Kaudha_Mixed,Wagai,Siaya,
Strongly agree,Strongly Agree,,Strongly agree,Agree,Kaudha_Mixed,Wagai,Siaya,
Agree,Agree,Agree,Agree,Agree,Budokomi_Mixed,Busia,Busia,
Agree,Neutral,Neutral,Agree,Agree,Budokomi_Mixed,Busia,Busia,
Agree,Strongly Agree,Agree,Strongly agree,Agree,Malele_Mixed,Wagai,Siaya,
Strongly agree,Strongly Agree,Agree,Agree,Strongly agree,Malele_Mixed,Wagai,Siaya,
Disagree,Disagree,Disagree,Strongly disagree,Agree,Malele_Mixed,Wagai,Siaya ,
Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Nyalunya_Mixed,Wagai,Siaya,
Strongly disagree,Strongly Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Nyalunya_Mixed,Wagai,Siaya,
Neutral,Agree,Strongly agree,Agree,Agree,Nyalunya_Mixed,Wagai,Siaya,
Disagree,Neutral,Neutral,Neutral,Neutral,Malele_Mixed,Wagai,Siaya,
Agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly disagree,Nyalunya_Mixed,Wagai,Siaya,
Neutral,Agree,Neutral,Agree,Agree,Lions_Mixed,Kisumu central ,Kisumu ,
Disagree,Neutral,Strongly disagree,Disagree,Neutral,Lions_Mixed,Kisumu central ,Kisumu ,
Agree,Agree,Agree,Neutral,Agree,Magunga_Mixed,Nyakach,Kisumu,
Strongly disagree,Agree,Agree,Agree,Agree,Magunga_Mixed,Nyakach,Kisumu,
Agree,Neutral,Agree,Neutral,Agree,Magunga_Mixed,Nyakach,Kisumu,
Neutral,Agree,Agree,Agree,Disagree,Nduru_Mixed,Alego-Usonga,Siaya,
Disagree,Disagree,Neutral,Agree,Strongly disagree,Nduru_Mixed,Alego_Usonga,Siaya,
Strongly disagree,Agree,Neutral,Neutral,Strongly disagree,Ojola_Mixed,Wagai,Siaya,
Disagree,Neutral,Neutral,Agree,Strongly disagree,Ojola_Mixed,Wagai,Siaya,
