Mathematics teachers in this school attend training workshops regularly.,The training has helped teachers improve how they teach mathematics.,The training programs cover the current curriculum and exams.,Teachers share what they learn from training with others,The school administration supports teachers to attend training programs,NAME  OF THE SCHOOL,SUB-COUNTY,COUNTY,IN-SERVICE TRAINING
4,4,5.0,4,4,Kaudha_Mixed,Wagai,Siaya,4.2
5,5,,5,4,Kaudha_Mixed,Wagai,Siaya,4.75
4,4,4.0,4,4,Budokomi_Mixed,Busia,Busia,4.0
4,3,3.0,4,4,Budokomi_Mixed,Busia,Busia,3.6
4,5,4.0,5,4,Malele_Mixed,Wagai,Siaya,4.4
5,5,4.0,4,5,Malele_Mixed,Wagai,Siaya,4.6
2,2,2.0,1,4,Malele_Mixed,Wagai,Siaya ,2.2
1,4,5.0,5,5,Nyalunya_Mixed,Wagai,Siaya,4.0
1,1,1.0,1,1,Nyalunya_Mixed,Wagai,Siaya,1.0
3,4,5.0,4,4,Nyalunya_Mixed,Wagai,Siaya,4.0
2,3,3.0,3,3,Malele_Mixed,Wagai,Siaya,2.8
4,1,5.0,1,1,Nyalunya_Mixed,Wagai,Siaya,2.4
3,4,3.0,4,4,Lions_Mixed,Kisumu central ,Kisumu ,3.6
2,3,1.0,2,3,Lions_Mixed,Kisumu central ,Kisumu ,2.2
4,4,4.0,3,4,Magunga_Mixed,Nyakach,Kisumu,3.8
1,4,4.0,4,4,Magunga_Mixed,Nyakach,Kisumu,3.4
4,3,4.0,3,4,Magunga_Mixed,Nyakach,Kisumu,3.6
3,4,4.0,4,2,Nduru_Mixed,Alego-Usonga,Siaya,3.4
2,2,3.0,4,1,Nduru_Mixed,Alego_Usonga,Siaya,2.4
1,4,3.0,3,1,Ojola_Mixed,Wagai,Siaya,2.4
2,3,3.0,4,1,Ojola_Mixed,Wagai,Siaya,2.6
